"Sample","lat.","long.","altitute.m","depth.m","water.percent","se.water","U.ppm","se.U","Th.ppm","se.Th","K.percent","se.K","Sa","se.Sa","cosmicray","cosmic.err","alpha","alpha.err","beta","beta.err","gamma","gamma.err","Dr_Gyka","Dr.err"
"LUM4523",42.45,13.27,889,1000,0,1,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077,22.9,0.2,3.04887861886449e-06,3.04887861886449e-07,0.22359533436,0.00693614246851761,0.09235824,0.00254275029707854,0.07072947,0.00189318284025644,0.386686093238619,0.00762625679979796
"LUM4524",42.45,13.27,889,1000,0,1,1.0756,0.005,0.2487,0.0063,0.02677,0.00136,27.6,2.7,3.04887861886449e-06,3.04887861886449e-07,0.5384329210368,0.0501722592592979,0.185214737,0.00272560774735952,0.138901696,0.00175851983252162,0.862552402915419,0.0502770019876782
"LUM4525",42.45,13.27,853,1000,0,1,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063,26.7,2,3.02762779836776e-06,3.02762779836776e-07,0.4224700766304,0.0308307594982407,0.145767836,0.0025142325554704,0.111173518,0.0017928357257876,0.679414458258198,0.0309850182606477
"LUM4526",42.45,13.27,853,1000,0,1,0.5899,0.009,0.1186,0.002,0.0096,0.00026,24.2,2.8,3.02762779836776e-06,3.02762779836776e-07,0.256784056848,0.028615875360118,0.09701847,0.00182407699370785,0.07405356,0.00132484260123292,0.427859114475798,0.0287045429769312
"LUM4771",42.45,13.27,853,1000,0,1,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012,27.2,1.7,3.02762779836776e-06,3.02762779836776e-07,0.31886825472,0.020907808313913,0.101623143,0.00235524456447356,0.078762624,0.00175925507020782,0.499257049347798,0.0211134697277242
"LUM4773",42.45,13.27,868,1000,0,1,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015,27.2,1.7,3.03645963629383e-06,3.03645963629383e-07,0.6656439679488,0.0437214580793629,0.210622423,0.00491870814900972,0.163786904,0.00367893695265178,1.04005633140844,0.0441508115852292
"LUM4774",42.45,13.27,928,1000,0,1,0.4694,0.0094,0.0219,0.0011,0.00208,1e-04,15.9,1.6,3.072111884449e-06,3.072111884449e-07,0.1285352636832,0.0131543254406913,0.070753998,0.00164776486567706,0.054051894,0.00122330728417456,0.253344227795084,0.0133134476247916
"LUM4775",42.45,13.27,875,1000,0,1,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011,15.7,1.7,3.04059223145163e-06,3.04059223145163e-07,0.1218087908784,0.0132330493164146,0.067873204,0.00156757006472167,0.052169942,0.00116625742516432,0.241854977470631,0.0133765102546469
"LUM4532",42.45,13.27,775,1000,0,1,0.7044,0.0045,0.0561,0.0025,0.0077,4e-04,17.1,0.6,2.98221950219949e-06,2.98221950219949e-07,0.209412936576,0.00795075199977483,0.11048318,0.00159708538465546,0.08337379,0.00109648040904112,0.403272888795502,0.00818336168479378
"LUM4772",42.45,13.27,775,1000,0,1,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017,17.1,0.6,2.98221950219949e-06,2.98221950219949e-07,0.1788390739296,0.00720327937511204,0.089909814,0.00203658303393813,0.072397662,0.00157239166642414,0.341149532149102,0.00764900776909108
"LUM4778",42.45,13.27,775,1000,0,1,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015,18.9,0.7,2.98221950219949e-06,2.98221950219949e-07,0.2065685582016,0.00882330639168272,0.094442926,0.00216532954831401,0.074483858,0.00163673787314684,0.375498324421102,0.00923137577442499
"LUM4779",42.45,13.27,800,1000,0,1,0.3323,0.0066,0.0163,8e-04,0.00199,1e-04,16.1,0.6,2.99667948280956e-06,2.99667948280956e-07,0.0922014905616,0.00408097996401363,0.050525009,0.00116427543555502,0.038432272,0.000862001428399869,0.181161768241083,0.00433047125713609
"LUM4780",50.43,11.02,500,10,0.01,0.01,0.42,0.02,0.0071,5e-04,0.00764,0.0006528,20.8,0.5,0.0700901620116816,0.00700901620116816,0.149139559510873,0.0079166326346954,0.0675852058492688,0.00297063875685521,0.0492003731574601,0.00224369171315176,0.336015300529284,0.0112097380660013
"LUM4346",50.43,11.02,500,10,0.01,0.01,0.65,0.03,0.0254,0.0011,0.00768,0.00042755,20.8,0.5,0.0700901620116816,0.00700901620116816,0.232297655626856,0.0119528929333045,0.101673238845144,0.00439998231612937,0.0758015626218611,0.00335846836195815,0.479862619105543,0.0149210291770978
"LUM4347",50.43,11.02,500,10,0.01,0.01,0.67,0.02,0.0123,6e-04,0.0067,0.00050615,20.8,0.5,0.0700901620116816,0.00700901620116816,0.238013544790681,0.00907391886608369,0.103445689288839,0.00296136405005541,0.0771624934757438,0.00224375596000961,0.488711889566946,0.0120526523861574
"LUM4348",50.43,11.02,500,10,0.01,0.01,0.87,0.03,0.0081,3e-04,0.006,0.00024595,20.8,0.5,0.0700901620116816,0.00700901620116816,0.308250489159426,0.012922206971493,0.131945856767904,0.00439838663096491,0.0991431076857238,0.00335886323977729,0.609429615624735,0.0157078804534959
