"Time_ka","alphaflux","a_U238","a_U234","a_Th230","r234_238","r230_234","Dr238_alpha","Dr238_beta","Dr238_gamma","Dr238","Dr234_alpha","Dr234_beta","Dr234_gamma","Dr234","Dr230_alpha","Dr230_beta","Dr230_gamma","Dr230","Dr_U238chain_alpha","Dr_U238chain_beta","Dr_U238chain_gamma","Dr_U238chain_total","Dr_U235","Dr_Th232","Dr.cosmic","Dr_total","De"
0,6558.75,8.27562292,22.75796303,0,2.75,0,0.01960349248,0.036716,0.0005695,0.05688899248,0.06448702832,0.00128975,9.2125e-05,0.06586890332,0,0,0,0,0.0840905208,0.03800575,0.000661625,0.1227578958,0.01367513952,0.0019040976624,0.051,0.1893371329824,0
1,6908.68939204629,8.27562292,22.7171726835791,0.20787767648936,2.74507102404071,0.00915068434724809,0.01960349248,0.036716,0.0005695,0.05688899248,0.0643714446791725,0.00128743831027509,9.19598793053636e-05,0.065750842868753,0.00460219857898009,0.00145410479101627,0.000907973998557033,0.00696427736855339,0.0885771357381526,0.0394575431012914,0.0015694338778624,0.129604112717306,0.01367513952,0.0019040976624,0.051,0.196183349899706,0.192763166799203
2,7254.7293960218,8.27562292,22.6764972255221,0.413482435126364,2.74015593082655,0.0182339640471895,0.01960349248,0.036716,0.0005695,0.05688899248,0.0642561865863374,0.00128513313155765,9.17952236826895e-05,0.0656331149415777,0.00915407708758561,0.00289231051680095,0.00180602028219226,0.0138524078865788,0.093013756153923,0.0408934436483586,0.00246731550587495,0.136374515308157,0.01367513952,0.0019040976624,0.051,0.202953752490557,0.392334620110927
3,7596.90763381656,8.27562292,22.6359363322393,0.616836104911793,2.73525468125599,0.0272503021681175,0.01960349248,0.036716,0.0005695,0.05688899248,0.06414125312457,0.00128283444550906,9.16310318220756e-05,0.0655157186019011,0.0136561187975082,0.00431476987126111,0.00269423419623306,0.0206651228650023,0.0974008644020782,0.0423136043167702,0.00335536522805514,0.143069833946903,0.01367513952,0.0019040976624,0.051,0.209649071129303,0.598638910998511
4,7935.26137780942,8.27562292,22.5954896810525,0.817960312320884,2.7303672363376,0.0362001586983435,0.01960349248,0.036716,0.0005695,0.05688899248,0.0640266433795283,0.00128054223384233,9.14673024173096e-05,0.065398652915788,0.0181088024967316,0.00572163413163723,0.00357271020141005,0.0274031468297789,0.10173893835626,0.0437181763654796,0.00423367750382736,0.149690792225567,0.01367513952,0.0019040976624,0.051,0.216270029407967,0.811601317506655
5,8269.82755407904,8.27562292,22.5551569501921,1.01687648316324,2.72549355718979,0.0450839905662715,0.01960349248,0.036716,0.0005695,0.05688899248,0.0639123564394456,0.00127825647832201,9.13040341658579e-05,0.0652819169519335,0.0225126025307083,0.00711305317151321,0.00444154188198076,0.0340671975842023,0.106028451450154,0.0451073096498352,0.00510234591614662,0.156238107016136,0.01367513952,0.0019040976624,0.051,0.222817344198536,1.03114783791025
6,8600.6427455855,8.27562292,22.514937818795,1.21360584442568,2.72063360504045,0.0539022516603439,0.01960349248,0.036716,0.0005695,0.05688899248,0.0637983913951227,0.00127597716076397,9.11412257688552e-05,0.0651655097816555,0.0268679888431585,0.0084891754737073,0.00530082195377904,0.0406579862706448,0.110269872718281,0.0464811526344713,0.00596146317954789,0.1627124885323,0.01367513952,0.0019040976624,0.051,0.2292917257147,1.25720518402525
7,8927.74319532291,8.27562292,22.4748319669018,1.40816942609831,2.71578734122673,0.0626553928488584,0.01960349248,0.036716,0.0005695,0.05688899248,0.0636847473399221,0.00127370426303534,9.09788759310956e-05,0.0650494304788886,0.0311754270164964,0.00985014814304507,0.00615064227219076,0.0471762174317322,0.114463666836419,0.0478398524060804,0.00681112114812185,0.169114640390621,0.01367513952,0.0019040976624,0.051,0.235693877573021,1.48970077458094
8,9251.16480944297,8.27562292,22.4348390754542,1.60058806298376,2.71095472719463,0.0713438619996589,0.01960349248,0.036716,0.0005695,0.05688899248,0.0635714233697593,0.00127143776705428,9.08169833610201e-05,0.0649336781201746,0.0354353783118862,0.0111961169190154,0.00699109384005651,0.0536225890709582,0.118610294161645,0.0491835546860697,0.00765141082341753,0.175445259671133,0.01367513952,0.0019040976624,0.051,0.242024496853533,1.72856272865316
9,9570.94316035003,8.27562292,22.3949588262926,1.79088239648991,2.70613572449874,0.0799681039996976,0.01960349248,0.036716,0.0005695,0.05688899248,0.063458418583096,0.00126917765478991,9.06555467707078e-05,0.0648182517846566,0.039648299708931,0.0125272261883107,0.00782226681550186,0.0599977927127436,0.122710210772027,0.0505124038431006,0.00848242236227256,0.1817050369774,0.01367513952,0.0019040976624,0.051,0.2482842741598,1.9737198591578
10,9887.11348976784,8.27562292,22.3551909021535,1.97907287640624,2.70133029480196,0.088528560774473,0.01960349248,0.036716,0.0005695,0.05688899248,0.0633457320809339,0.00126692390826212,9.04945648758658e-05,0.0647031505540719,0.0438146439449984,0.0138436189972518,0.00864425051969601,0.0663025134619462,0.126763868505932,0.0518265429055139,0.00930424508457187,0.187894656496018,0.01367513952,0.0019040976624,0.051,0.254473893678418,2.22510166640409
11,10199.7107117781,8.27562292,22.315534986667,2.16517976266385,2.69653839987516,0.0970256713073422,0.01960349248,0.036716,0.0005695,0.05688899248,0.0632333629668062,0.00126467650954145,9.03340363958178e-05,0.0645883735127434,0.0479348595541862,0.0151454370641002,0.00945713344453939,0.0725374300628258,0.130771715000992,0.0531261135736416,0.0101169674809352,0.194014796055569,0.01367513952,0.0019040976624,0.051,0.260594033237969,2.48263833170716
12,10508.7694158313,8.27562292,22.2759907643543,2.34922312707939,2.69176000159687,0.105459871658709,0.01960349248,0.036716,0.0005695,0.05688899248,0.0631213103467711,0.00126243544074893,9.0173960053495e-05,0.0644739197475735,0.0520093909059319,0.0164328207912561,0.0102610032602809,0.0787032149574689,0.134734193732703,0.0544112562320051,0.0109206772203344,0.200066127185042,0.01367513952,0.0019040976624,0.051,0.266645364367442,2.74626071105922
13,10814.3238697299,8.27562292,22.236557920625,2.53122285508307,2.68699506195299,0.11383159498509,0.01960349248,0.036716,0.0005695,0.05688899248,0.0630095733294046,0.00126020068405595,9.00143345754252e-05,0.064359788348036,0.0560386782432674,0.0177059092773464,0.0110559468230653,0.0848005343436791,0.138651744052672,0.0556821099614024,0.0117154611576407,0.206049315171715,0.01367513952,0.0019040976624,0.051,0.272628552354115,3.01590032885893
14,11116.4080225845,8.27562292,22.197236141775,2.71119864743076,2.68224354303652,0.122141271558052,0.01960349248,0.036716,0.0005695,0.05688899248,0.0628981510257939,0.00125797222168413,8.98551586917234e-05,0.0642459784061697,0.0600231577207246,0.0189648403292005,0.0118420501824116,0.0908300482323367,0.142524801226518,0.0569388125508846,0.0125014053411034,0.211965019118506,0.01367513952,0.0019040976624,0.051,0.278544256300906,3.29148937169836
