Sample,lat.,long.,altitute.m,depth.m,grain.min,grain.max,water.percent,se.water,U.ppm,se.U,Th.ppm,se.Th,K.percent,se.K,cosmicray,cosmic.err,internal,internal.err,external.alpha,external.alpha.err,external.beta,external.beta.err,external.gamma,external.gamma.err,external.total,external.total.err,Doserate_Gyka,err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial-1,-5,-40,2000,0.5,4,11,10,5,0.53,0.06,3.4,0.16,2.2,0.07,0.253268297,0.02532683,0.03884125,0.010699257,0.223,0.044,1.711,0.134,0.693,0.048,2.627,0.149,2.919546222,0.151389806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial-2,-5,-40,2000,1,4,11,10,5,0.8,0.07,3.92,0.15,2.09,0.07,0.226861929,0.022686193,0.03884125,0.010699257,0.285,0.054,1.680,0.130,0.718,0.049,2.683,0.149,2.948746004,0.151544887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial-3,-5,-40,2000,2,4,11,10,5,0.53,0.06,2.65,0.14,2.16,0.07,0.197987562,0.019798756,0.03884125,0.010699257,0.191,0.037,1.665,0.131,0.652,0.046,2.508,0.144,2.744513762,0.145623039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingyuan-1,43,115,1300,5,4,11,15,5,1.59,0.1,8.39,0.25,2.31,0.07,0.133176212,0.013317621,0.03884125,0.010699257,0.555,0.104,1.937,0.139,0.989,0.062,3.481,0.184,3.653397962,0.184598493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingyuan-2,43,115,1300,15,4,11,15,5,1.66,0.1,8.56,0.26,2.31,0.07,0.050261944,0.005026194,0.03884125,0.010699257,0.572,0.106,1.949,0.139,1.003,0.062,3.524,0.186,3.612948478,0.186450799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM-2307,50.5,7.1,147,1.5,4,11,20,10,3.47,0.18,11.12,0.56,1.94,0.099,0.175208919,0.017520892,0.03884125,0.010699257,0.871,0.182,1.879,0.211,1.146,0.117,3.895,0.302,4.10948265,0.302981071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM-2308,50.5,7.1,147,4.3,4,11,20,10,4.11,0.21,13.88,0.7,1.83,0.094,0.121908881,0.012190888,0.03884125,0.010699257,1.058,0.221,1.941,0.216,1.290,0.132,4.290,0.336,4.450427076,0.336374753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM-2317,50.5,7.1,147,6.6,4,11,20,10,3.65,0.18,12.73,0.64,1.81,0.091,0.093214171,0.009321417,0.03884125,0.010699257,0.955,0.200,1.851,0.206,1.199,0.122,4.005,0.312,4.137056887,0.312131069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM-2318,50.5,7.1,147,9.6,4,11,20,10,3.11,0.16,12.33,0.62,1.83,0.092,0.068170125,0.006817013,0.03884125,0.010699257,0.870,0.182,1.793,0.201,1.138,0.116,3.801,0.295,3.908041663,0.295028153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3703,37.71,109.42,1050,1.1,4,11,20,5,2.79,0.14,14.16,0.43,2.16,0.1,0.202872557,0.020287256,0.03884125,0.010699257,0.897,0.165,2.007,0.141,1.248,0.076,4.152,0.230,4.393504508,0.231572667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
