"Sample","lat.","long.","altitute.m","depth.m","grain.min","grain.max","water.percent","se.water","U.ppm","se.U","Th.ppm","se.Th","K.percent","se.K","cosmicray","cosmic.err","internal","internal.err","external.alpha","external.alpha.err","external.beta","external.beta.err","external.gamma","external.gamma.err","external.total","external.total.err","Doserate_Gyka","err"
"Artificial-1",-5,-40,2000,0.5,100,150,10,5,0.53,0.06,3.4,0.16,2.2,0.07,0.253268297281023,0.0253268297281023,0.573645433454118,0.103735538371611,0,0,1.62034408642653,0.104130865997102,0.693315978456015,0.0409765173283236,2.31366006488255,0.111903137693564,3.14057379561769,0.154676509047072
"Artificial-2",-5,-40,2000,1,100,150,10,5,0.8,0.07,3.92,0.15,2.09,0.07,0.226861928909535,0.0226861928909535,0.573645433454118,0.103735538371611,0,0,1.58741258078737,0.102447061545695,0.718199281867145,0.0420680008889371,2.30561186265451,0.110747989228423,3.10611922501817,0.153430252516485
"Artificial-3",-5,-40,2000,2,100,150,10,5,0.53,0.06,2.65,0.14,2.16,0.07,0.19798756227185,0.019798756227185,0.573645433454118,0.103735538371611,0,0,1.57798714639422,0.102001077789696,0.651963195691203,0.0389725499294435,2.22995034208543,0.10919285470333,3.00158333781139,0.151908301904978
"Jingyuan-1",43,115,1300,5,90,125,15,5,1.59,0.1,8.39,0.25,2.31,0.07,0.133176211828981,0.0133176211828981,0.497074457238001,0.0744769460675808,0,0,1.83264775235207,0.108809307140659,0.989204953031597,0.0531966074720019,2.82185270538367,0.121117068850598,3.45210337445065,0.142805878368102
"Jingyuan-2",43,115,1300,15,90,125,15,5,1.66,0.1,8.56,0.26,2.31,0.07,0.0502619436242557,0.00502619436242557,0.497074457238001,0.0744769460675808,0,0,1.84367891895665,0.109342008352065,1.00287105038429,0.0538802246277114,2.84654996934094,0.121896486398894,3.39388637020319,0.142936459735499
"LUM-2307",50.5,7.1,147,1.5,38,63,20,10,3.47,0.18,11.12,0.56,1.94,0.099,0.175208919112652,0.0175208919112652,0.239259561980038,0.0522141302369524,0,0,1.81836321842509,0.194136653180932,1.14611563517915,0.11196860150705,2.96447885360424,0.22411159682564,3.37894733469693,0.230779775720286
"LUM-2308",50.5,7.1,147,4.3,38,63,20,10,4.11,0.21,13.88,0.7,1.83,0.094,0.121908881059722,0.0121908881059722,0.239259561980038,0.0522141302369524,0,0,1.87382204652751,0.19897229871274,1.29011400651466,0.126030271831906,3.16393605304217,0.235528353013084,3.52510449608193,0.241554420829489
"LUM-2317",50.5,7.1,147,6.6,38,63,20,10,3.65,0.18,12.73,0.64,1.81,0.091,0.0932141706147063,0.00932141706147063,0.239259561980038,0.0522141302369524,0,0,1.78830684400694,0.189852880211359,1.19912133550489,0.116988415170353,2.98742817951183,0.223003151118139,3.31990191210657,0.229223928988783
"LUM-2318",50.5,7.1,147,9.6,38,63,20,10,3.11,0.16,12.33,0.62,1.83,0.092,0.0681701251702199,0.00681701251702199,0.239259561980038,0.0522141302369524,0,0,1.73417610757108,0.184693784236148,1.13835912052117,0.111245441476485,2.87253522809225,0.21560923492459,3.17996491524251,0.221946230517271
"LUM3703",37.71,109.42,1050,1.1,63,100,20,5,2.79,0.14,14.16,0.43,2.16,0.1,0.202872556958475,0.0202872556958475,0.381259871132564,0.0768794203557061,0,0,1.9086036687125,0.116742196220419,1.2480342019544,0.0655181123217978,3.1566378706669,0.133870696646348,3.74077029875794,0.155702862653442
"LUM3704",37.71,109.42,1050,3.5,63,100,15,5,2.51,0.13,12.62,0.4,1.92,0.09,0.147630290044006,0.0147630290044006,0.381259871132564,0.0768794203557061,0,0,1.78985575610742,0.11376297658582,1.16759692570453,0.063949354545733,2.95745268181194,0.130504922468395,3.48634284298851,0.152183859486136
"LUM3705",37.71,109.42,1050,9.6,63,100,20,5,3.31,0.16,14.43,0.44,2.21,0.1,0.0747246578033093,0.00747246578033093,0.381259871132564,0.0768794203557061,0,0,2.00006148971166,0.120895653733925,1.31612296416938,0.0688149028915619,3.31618445388104,0.139108770218589,3.77216898281692,0.15911484208205
"LUM3706",37.71,109.42,1050,11.9,63,100,15,5,2.24,0.12,9.78,0.32,1.55,0.08,0.0602476752953592,0.00602476752953592,0.381259871132564,0.0768794203557061,0,0,1.4606000869621,0.0952770474553857,0.946233988044406,0.0525359705252343,2.40683407500651,0.108801396915867,2.84834162143443,0.133358490801517
"LUM3707",37.71,109.42,1050,18.3,63,100,20,5,2.66,0.13,14.84,0.45,2.08,0.1,0.0360900436384779,0.00360900436384779,0.381259871132564,0.0768794203557061,0,0,1.85817352494266,0.114547870166176,1.24656026058632,0.0654572070382037,3.10473378552898,0.131931271929173,3.52208370030002,0.15273942090887
"LUM3708",37.71,109.42,1050,22.2,63,100,15,5,3.02,0.14,11.73,0.37,1.74,0.09,0.0277006698147917,0.00277006698147917,0.381259871132564,0.0768794203557061,0,0,1.71132442967406,0.110263316157016,1.14133304867634,0.0626087349578566,2.8526574783504,0.126798472321102,3.26161801929776,0.148310387796258
"LUM3709",37.71,109.42,1050,24.2,63,100,20,5,2.53,0.13,14.64,0.44,1.92,0.09,0.0244502392510811,0.00244502392510811,0.381259871132564,0.0768794203557061,0,0,1.74121598250318,0.106274671012671,1.19434364820847,0.0625124749234668,2.93555963071164,0.12329685811045,3.34126974109529,0.145322189070122
"LUM3710",37.71,109.42,1050,26.6,63,100,15,5,2.72,0.14,12.09,0.38,1.82,0.09,0.021224858593766,0.0021224858593766,0.381259871132564,0.0768794203557061,0,0,1.73730845153404,0.111480438977637,1.1445439795047,0.0628878684026924,2.88185243103874,0.127995204077657,3.28433716076507,0.149324219359532
"LUM3711",37.71,109.42,1050,32.5,63,100,15,5,3.19,0.15,11.34,0.36,1.73,0.09,0.0154837708675505,0.00154837708675505,0.381259871132564,0.0768794203557061,0,0,1.71593196424123,0.110587828786063,1.13941076003416,0.0626320083958548,2.85534272427539,0.127092235605933,3.2520863662755,0.148543862536108
"LUM3712",37.71,109.42,1050,42.6,63,100,15,5,2.55,0.13,12.85,0.4,1.75,0.09,0.00978707290384067,0.000978707290384067,0.381259871132564,0.0768794203557061,0,0,1.68789885488037,0.10920884266429,1.14459863364646,0.0628746211256737,2.83249748852683,0.126015035998767,3.22354443256323,0.14761840142733
"LUM3713",37.71,109.42,1050,56.4,63,100,15,5,2.51,0.13,12.04,0.38,1.73,0.09,0.00585444710460156,0.000585444710460156,0.381259871132564,0.0768794203557061,0,0,1.65401120800432,0.107653795893135,1.10324167378309,0.0608676132327249,2.75725288178741,0.123669746142092,3.14436720002457,0.145619346690568
