"Sample","lat.","long.","altitute.m","depth.m","grain.min","grain.max","water.percent","se.water","U.ppm","se.U","Th.ppm","se.Th","K.percent","se.K","cosmicray","cosmic.err","internal","internal.err","external.alpha","external.alpha.err","external.beta","external.beta.err","external.gamma","external.gamma.err","external.total","external.total.err","Doserate_Gyka","err"
"Artificial-1",-5,-40,2000,0.5,100,150,10,5,0.53,0.06,3.4,0.16,2.2,0.07,0.253268297281023,0.0253268297281023,0.530836151977863,0.095994094611654,0.0352974227935463,0.00833696238767012,1.6276647961129,0.104410949531918,0.693315978456015,0.0409765173283236,2.35627819736246,0.112473224797587,3.14038264662134,0.150021801084896
"Artificial-2",-5,-40,2000,1,100,150,10,5,0.8,0.07,3.92,0.15,2.09,0.07,0.226861928909535,0.0226861928909535,0.530836151977863,0.095994094611654,0.0446303613665015,0.0101734482629369,1.59490708410526,0.102748802230129,0.718199281867145,0.0420680008889371,2.3577367273389,0.111492296182635,3.1154348082263,0.148862559618841
"Artificial-3",-5,-40,2000,2,100,150,10,5,0.53,0.06,2.65,0.14,2.16,0.07,0.19798756227185,0.019798756227185,0.530836151977863,0.095994094611654,0.0299457960299358,0.00691826651585619,1.58497502469235,0.102267652079064,0.651963195691203,0.0389725499294435,2.26688401641349,0.109660360756984,2.9957077306632,0.147079066048866
"Jingyuan-1",43,115,1300,5,90,125,15,5,1.59,0.1,8.39,0.25,2.31,0.07,0.133176211828981,0.0133176211828981,0.459979417142541,0.0689189753041755,0.100416835770666,0.021249221839161,1.84125592457961,0.109209303593003,0.989204953031597,0.0531966074720019,2.93087771338188,0.123321046324498,3.5240333423534,0.141898783143189
"Jingyuan-2",43,115,1300,15,90,125,15,5,1.66,0.1,8.56,0.26,2.31,0.07,0.0502619436242557,0.00502619436242557,0.459979417142541,0.0689189753041755,0.103302948819706,0.0218011067982589,1.85239948624135,0.109747651529238,1.00287105038429,0.0538802246277114,2.95857348544534,0.124189024795852,3.46881484621214,0.142119673748891
"LUM-2307",50.5,7.1,147,1.5,38,63,20,10,3.47,0.18,11.12,0.56,1.94,0.099,0.175208919112652,0.0175208919112652,0.221404403832931,0.048317560565174,0.319416511872412,0.0828575351022665,1.82393055002993,0.194681363194686,1.14611563517915,0.11196860150705,3.28946269708149,0.239380809636046,3.68607602002707,0.244836149974518
"LUM-2308",50.5,7.1,147,4.3,38,63,20,10,4.11,0.21,13.88,0.7,1.83,0.094,0.121908881059722,0.0121908881059722,0.221404403832931,0.048317560565174,0.388979475274513,0.100940812243212,1.88009573293682,0.199587076113024,1.29011400651466,0.126030271831906,3.55918921472599,0.256724907139314,3.90250249961865,0.261516504942749
"LUM-2317",50.5,7.1,147,6.6,38,63,20,10,3.65,0.18,12.73,0.64,1.81,0.091,0.0932141706147063,0.00932141706147063,0.221404403832931,0.048317560565174,0.351504598914256,0.0912403460984557,1.79411085983181,0.190420455603896,1.19912133550489,0.116988415170353,3.34473679425095,0.241393951773097,3.65935536869859,0.246358509955786
"LUM-2318",50.5,7.1,147,9.6,38,63,20,10,3.11,0.16,12.33,0.62,1.83,0.092,0.0681701251702199,0.00681701251702199,0.221404403832931,0.048317560565174,0.32178201200949,0.0839088758806938,1.73961591037119,0.18522559840287,1.13835912052117,0.111245441476485,3.19975704290185,0.23178604359314,3.48933157190501,0.236866688926889
"LUM3703",37.71,109.42,1050,1.1,63,100,20,5,2.79,0.14,14.16,0.43,2.16,0.1,0.202872556958475,0.0202872556958475,0.352807694601431,0.0711421607981401,0.211232287203914,0.051629173814524,1.91702648381707,0.11710501926991,1.2480342019544,0.0655181123217978,3.37629297297538,0.143776841560761,3.93197322453529,0.161692795003009
"LUM3704",37.71,109.42,1050,3.5,63,100,15,5,2.51,0.13,12.62,0.4,1.92,0.09,0.147630290044006,0.0147630290044006,0.352807694601431,0.0711421607981401,0.200472014071433,0.0491434017346402,1.7977688468588,0.114127779696957,1.16759692570453,0.063949354545733,3.16583778663476,0.139748860386857,3.6662757712802,0.157508406276739
"LUM3705",37.71,109.42,1050,9.6,63,100,20,5,3.31,0.16,14.43,0.44,2.21,0.1,0.0747246578033093,0.00747246578033093,0.352807694601431,0.0711421607981401,0.22814985908839,0.0549173065149767,2.00902315299813,0.121281970061177,1.31612296416938,0.0688149028915619,3.5532959762559,0.149869001720687,3.98082832866064,0.166065536655327
"LUM3706",37.71,109.42,1050,11.9,63,100,15,5,2.24,0.12,9.78,0.32,1.55,0.08,0.0602476752953592,0.00602476752953592,0.352807694601431,0.0711421607981401,0.163998060175361,0.0396696559827288,1.46707350132754,0.0955821550282178,0.946233988044406,0.0525359705252343,2.57730554954731,0.116058856467977,2.9903609194441,0.136261377622083
"LUM3707",37.71,109.42,1050,18.3,63,100,20,5,2.66,0.13,14.84,0.45,2.08,0.1,0.0360900436384779,0.00360900436384779,0.352807694601431,0.0711421607981401,0.214086809410301,0.0528994114454117,1.86651769420546,0.114907776742814,1.24656026058632,0.0654572070382037,3.32716476420208,0.142431705882116,3.71606250244199,0.159251445192866
"LUM3708",37.71,109.42,1050,22.2,63,100,15,5,3.02,0.14,11.73,0.37,1.74,0.09,0.0277006698147917,0.00277006698147917,0.352807694601431,0.0711421607981401,0.206466172224643,0.0494371995205576,1.71917417098351,0.110630510048782,1.14133304867634,0.0626087349578566,3.0669733918845,0.136392815584664,3.44748175630072,0.1538566880484
"LUM3709",37.71,109.42,1050,24.2,63,100,20,5,2.53,0.13,14.64,0.44,1.92,0.09,0.0244502392510811,0.00244502392510811,0.352807694601431,0.0711421607981401,0.208601739166915,0.0517869825935997,1.74917531236176,0.106617106900483,1.19434364820847,0.0625124749234668,3.15212069973715,0.134003390147548,3.52937863358966,0.151736922850237
