"Sample","lat.","long.","altitute.m","depth.m","grain.min","grain.max","water.percent","se.water","U.ppm","se.U","Th.ppm","se.Th","K.percent","se.K","cosmicray","cosmic.err","external.alpha","external.alpha.err","external.beta","external.beta.err","external.gamma","external.gamma.err","Doserate_Gyka","err"
"Artificial-1",-5,-40,2000,0.5,4,11,10,5,0.53,0.06,3.4,0.16,2.2,0.07,0.253268297281023,0.0253268297281023,0.0991061523478261,0.0207631215451684,1.71113185333333,0.108596306477381,0.693315978456015,0.0409765173283236,2.7568222814182,0.12060177558089
"Artificial-2",-5,-40,2000,1,4,11,10,5,0.8,0.07,3.92,0.15,2.09,0.07,0.226861928909535,0.0226861928909535,0.126598274782609,0.0257321527938852,1.67999742488889,0.107096274117979,0.718199281867145,0.0420680008889371,2.75165691044818,0.12006721311015
"Artificial-3",-5,-40,2000,2,4,11,10,5,0.53,0.06,2.65,0.14,2.16,0.07,0.19798756227185,0.019798756227185,0.0848768914782609,0.0175431691800702,1.66474874844444,0.106282746243234,0.651963195691203,0.0389725499294435,2.59957639788576,0.11625246375897
"Jingyuan-1",43,115,1300,5,4,11,15,5,1.59,0.1,8.39,0.25,2.31,0.07,0.133176211828981,0.0133176211828981,0.246877782530612,0.0495975162039369,1.93670053642105,0.114159776216944,0.989204953031597,0.0531966074720019,3.30595948381224,0.136013257442074
"Jingyuan-2",43,115,1300,15,4,11,15,5,1.66,0.1,8.56,0.26,2.31,0.07,0.0502619436242557,0.00502619436242557,0.254195662367347,0.050961861263422,1.94903399326316,0.114759571214547,1.00287105038429,0.0538802246277114,3.25636264963905,0.136730434521654
"LUM-2307",50.5,7.1,147,1.5,4,11,20,10,3.47,0.18,11.12,0.56,1.94,0.099,0.175208919112652,0.0175208919112652,0.387024268307692,0.0858414342827401,1.8785122424,0.200172525201265,1.14611563517915,0.11196860150705,3.5868610649995,0.245523402269478
"LUM-2308",50.5,7.1,147,4.3,4,11,20,10,4.11,0.21,13.88,0.7,1.83,0.094,0.121908881059722,0.0121908881059722,0.470306398769231,0.104203309479438,1.9413735408,0.205766484707039,1.29011400651466,0.126030271831906,3.82370282714361,0.263116748053019
"LUM-2317",50.5,7.1,147,6.6,4,11,20,10,3.65,0.18,12.73,0.64,1.81,0.091,0.0932141706147063,0.00932141706147063,0.424440386153846,0.0939688749728538,1.8508892616,0.196132525489209,1.19912133550489,0.116988415170353,3.56766515387344,0.247126071304797
"LUM-2318",50.5,7.1,147,9.6,4,11,20,10,3.11,0.16,12.33,0.62,1.83,0.092,0.0681701251702199,0.00681701251702199,0.386541744923077,0.0856888760166364,1.7929522408,0.190588933197683,1.13835912052117,0.111245441476485,3.38602323141447,0.236830624792025
"LUM3703",37.71,109.42,1050,1.1,4,11,20,5,2.79,0.14,14.16,0.43,2.16,0.1,0.202872556958475,0.0202872556958475,0.398774850461538,0.07926245567881,2.0065130856,0.121520516411475,1.2480342019544,0.0655181123217978,3.85619469497441,0.160480430504866
