"Sample","lat.","long.","altitute.m","depth.m","grain.min","grain.max","water.percent","se.water","U.ppm","se.U","Th.ppm","se.Th","K.percent","se.K","cosmicray","cosmic.err","external.alpha","external.alpha.err","external.beta","external.beta.err","external.gamma","external.gamma.err","Doserate_Gyka","err"
"Artificial-1",-5,-40,2000,0.5,100,150,10,5,0.53,0.06,3.4,0.16,2.2,0.07,0.253268297281023,0.0253268297281023,0,0,1.61717575960571,0.10400495311842,0.693315978456015,0.0409765173283236,2.56376003534275,0.11461916746164
"Artificial-2",-5,-40,2000,1,100,150,10,5,0.8,0.07,3.92,0.15,2.09,0.07,0.226861928909535,0.0226861928909535,0,0,1.58433679550647,0.102318867025602,0.718199281867145,0.0420680008889371,2.52939800628315,0.112931530566446
"Artificial-3",-5,-40,2000,2,100,150,10,5,0.53,0.06,2.65,0.14,2.16,0.07,0.19798756227185,0.019798756227185,0,0,1.57484871280904,0.101875579270189,0.651963195691203,0.0389725499294435,2.42479947077209,0.110857945352523
"Jingyuan-1",43,115,1300,5,90,125,15,5,1.59,0.1,8.39,0.25,2.31,0.07,0.133176211828981,0.0133176211828981,0,0,1.8296598175665,0.108663790672744,0.989204953031597,0.0531966074720019,2.95204098242708,0.121717120750827
"Jingyuan-2",43,115,1300,15,90,125,15,5,1.66,0.1,8.56,0.26,2.31,0.07,0.0502619436242557,0.00502619436242557,0,0,1.84067605509078,0.109195654435868,1.00287105038429,0.0538802246277114,2.89380904909932,0.121868913933698
"LUM-2307",50.5,7.1,147,1.5,38,63,20,10,3.47,0.18,11.12,0.56,1.94,0.099,0.175208919112652,0.0175208919112652,0,0,1.81633872914406,0.193928890009141,1.14611563517915,0.11196860150705,3.13766328343586,0.224616036286344
"LUM-2308",50.5,7.1,147,4.3,38,63,20,10,4.11,0.21,13.88,0.7,1.83,0.094,0.121908881059722,0.0121908881059722,0,0,1.87173224987023,0.198758042942335,1.29011400651466,0.126030271831906,3.28375513744461,0.235662909268947
"LUM-2317",50.5,7.1,147,6.6,38,63,20,10,3.65,0.18,12.73,0.64,1.81,0.091,0.0932141706147063,0.00932141706147063,0,0,1.78632826326371,0.189650444534929,1.19912133550489,0.116988415170353,3.0786637693833,0.223025714240311
"LUM-2318",50.5,7.1,147,9.6,38,63,20,10,3.11,0.16,12.33,0.62,1.83,0.092,0.0681701251702199,0.00681701251702199,0,0,1.73229801954358,0.184501044953255,1.13835912052117,0.111245441476485,2.93882726523498,0.215551978645055
"LUM3703",37.71,109.42,1050,1.1,63,100,20,5,2.79,0.14,14.16,0.43,2.16,0.1,0.202872556958475,0.0202872556958475,0,0,1.90609472412223,0.116610077469342,1.2480342019544,0.0655181123217978,3.3570014830351,0.135285276188085
"LUM3704",37.71,109.42,1050,3.5,63,100,15,5,2.51,0.13,12.62,0.4,1.92,0.09,0.147630290044006,0.0147630290044006,0,0,1.78750099648525,0.11363235605298,1.16759692570453,0.063949354545733,3.10272821223379,0.131224156748488
"LUM3705",37.71,109.42,1050,9.6,63,100,20,5,3.31,0.16,14.43,0.44,2.21,0.1,0.0747246578033093,0.00747246578033093,0,0,1.99738481235424,0.120756665465266,1.31612296416938,0.0688149028915619,3.38823243432693,0.139188723893509
"LUM3706",37.71,109.42,1050,11.9,63,100,15,5,2.24,0.12,9.78,0.32,1.55,0.08,0.0602476752953592,0.00602476752953592,0,0,1.45864090112623,0.0951641240050938,0.946233988044406,0.0525359705252343,2.465122564466,0.108869355286371
"LUM3707",37.71,109.42,1050,18.3,63,100,20,5,2.66,0.13,14.84,0.45,2.08,0.1,0.0360900436384779,0.00360900436384779,0,0,1.85577604373506,0.114418439208219,1.24656026058632,0.0654572070382037,3.13842634795986,0.131868305883504
"LUM3708",37.71,109.42,1050,22.2,63,100,15,5,3.02,0.14,11.73,0.37,1.74,0.09,0.0277006698147917,0.00277006698147917,0,0,1.70900564472431,0.110130676505736,1.14133304867634,0.0626087349578566,2.87803936321545,0.126713428142861
"LUM3709",37.71,109.42,1050,24.2,63,100,20,5,2.53,0.13,14.64,0.44,1.92,0.09,0.0244502392510811,0.00244502392510811,0,0,1.73899455264758,0.106155071020337,1.19434364820847,0.0625124749234668,2.95778844010713,0.123218045619885
"LUM3710",37.71,109.42,1050,26.6,63,100,15,5,2.72,0.14,12.09,0.38,1.82,0.09,0.021224858593766,0.0021224858593766,0,0,1.73499178793612,0.111349213217354,1.1445439795047,0.0628878684026924,2.90076062603459,0.127898538782041
"LUM3711",37.71,109.42,1050,32.5,63,100,15,5,3.19,0.15,11.34,0.36,1.73,0.09,0.0154837708675505,0.00154837708675505,0,0,1.71357584589042,0.110453195130955,1.13941076003416,0.0626320083958548,2.86847037679213,0.126984543397762
"LUM3712",37.71,109.42,1050,42.6,63,100,15,5,2.55,0.13,12.85,0.4,1.75,0.09,0.00978707290384067,0.000978707290384067,0,0,1.68570078832817,0.109081078056619,1.14459863364646,0.0628746211256737,2.84008649487847,0.125908130951307
"LUM3713",37.71,109.42,1050,56.4,63,100,15,5,2.51,0.13,12.04,0.38,1.73,0.09,0.00585444710460156,0.000585444710460156,0,0,1.65183395608617,0.107527084924938,1.10324167378309,0.0608676132327249,2.76093007697386,0.123560847676812
