"Sample","lat.","long.","altitute.m","depth.m","grain.min","grain.max","water.percent","se.water","U.ppm","se.U","Th.ppm","se.Th","K.percent","se.K","cosmicray","cosmic.err","external.alpha","external.alpha.err","external.beta","external.beta.err","external.gamma","external.gamma.err","Doserate_Gyka","err"
"Artificial-1",-5,-40,2000,0.5,100,150,10,5,0.53,0.06,3.4,0.16,2.2,0.07,0.253268297281023,0.0253268297281023,0.0156877434637984,0.00394588937933753,1.62473291115455,0.104288673192445,0.693315978456015,0.0409765173283236,2.58700493035538,0.114944424291348
"Artificial-2",-5,-40,2000,1,100,150,10,5,0.8,0.07,3.92,0.15,2.09,0.07,0.226861928909535,0.0226861928909535,0.0198357161628896,0.0048156587273368,1.59206083461454,0.102624884793056,0.718199281867145,0.0420680008889371,2.55695776155411,0.113311242136177
"Artificial-3",-5,-40,2000,2,100,150,10,5,0.53,0.06,2.65,0.14,2.16,0.07,0.19798756227185,0.019798756227185,0.0133092426799714,0.00327052967806202,1.58207080213528,0.10214582929272,0.651963195691203,0.0389725499294435,2.44533080277831,0.111154474504713
"Jingyuan-1",43,115,1300,5,90,125,15,5,1.59,0.1,8.39,0.25,2.31,0.07,0.133176211828981,0.0133176211828981,0.0446297047869628,0.0101649298817418,1.83849096958924,0.109072068614874,0.989204953031597,0.0531966074720019,3.00550183923678,0.122504204139817
"Jingyuan-2",43,115,1300,15,90,125,15,5,1.66,0.1,8.56,0.26,2.31,0.07,0.0502619436242557,0.00502619436242557,0.045912421697647,0.0104288392337837,1.84962071627908,0.109609656962723,1.00287105038429,0.0538802246277114,2.94866613198527,0.122684060997961
"LUM-2307",50.5,7.1,147,1.5,38,63,20,10,3.47,0.18,11.12,0.56,1.94,0.099,0.175208919112652,0.0175208919112652,0.141962894165516,0.0385821183193547,1.82205714175891,0.194488549621529,1.14611563517915,0.11196860150705,3.28534459021623,0.228381972065891
"LUM-2308",50.5,7.1,147,4.3,38,63,20,10,4.11,0.21,13.88,0.7,1.83,0.094,0.121908881059722,0.0121908881059722,0.172879766788672,0.0470073138443088,1.87816189096533,0.199388295892169,1.29011400651466,0.126030271831906,3.46306454532839,0.240826965401462
"LUM-2317",50.5,7.1,147,6.6,38,63,20,10,3.65,0.18,12.73,0.64,1.81,0.091,0.0932141706147063,0.00932141706147063,0.156224266184114,0.0424936961949455,1.79227993409464,0.190232624467607,1.19912133550489,0.116988415170353,3.24083970639835,0.227524380513928
"LUM-2318",50.5,7.1,147,9.6,38,63,20,10,3.11,0.16,12.33,0.62,1.83,0.092,0.0681701251702199,0.00681701251702199,0.143014227559773,0.0390891720405125,1.73787797790725,0.185046752240123,1.13835912052117,0.111245441476485,3.08742145115842,0.21952741012089
"LUM3703",37.71,109.42,1050,1.1,63,100,20,5,2.79,0.14,14.16,0.43,2.16,0.1,0.202872556958475,0.0202872556958475,0.0938810165350731,0.0242604558701348,1.91470477355119,0.116980878192924,1.2480342019544,0.0655181123217978,3.45949254899914,0.137758090026302
"LUM3704",37.71,109.42,1050,3.5,63,100,15,5,2.51,0.13,12.62,0.4,1.92,0.09,0.147630290044006,0.0147630290044006,0.0890986729206369,0.0230826268840959,1.79558981524142,0.114005214388269,1.16759692570453,0.063949354545733,3.19991570391059,0.133556967410114
