DRAC v.1.2 Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full details of the inputs required for a DRAC dose rate calculation and the calculation process can be found in the paper and the DRAC website (www.aber.ac.uk/alrl/drac).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please cite all uses of DRAC, including the version number, as Durcan, J.A., King, G.E., and Duller, G.A.T., 2015. DRAC: Dose rate and age calculator for trapped charge dating. Quaternary Geochronology, 28, 54-61. Corresponding authors: Julie Durcan (julie.durcan@ouce.ox.ac.uk) and Georgina King (georgina.king@uni-koeln.de).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To calculate dose rates using DRAC, the data table below (excluding headers) can be copied and pasted into the calculator box on the DRAC website (www.aber.ac.uk/alrl/DRAC). Once 'calculate' has been clicked, DRAC will generate an output file, which can be saved by the user.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI:1,TI:2,TI:3,TI:4,TI:5,TI:6,TI:7,TI:8,TI:9,TI:10,TI:11,TI:12,TI:13,TI:14,TI:15,TI:16,TI:17,TI:18,TI:19,TI:20,TI:21,TI:22,TI:23,TI:24,TI:25,TI:26,TI:27,TI:28,TI:29,TI:30,TI:31,TI:32,TI:33,TI:34,TI:35,TI:36,TI:37,TI:38,TI:39,TI:40,TI:41,TI:42,TI:43,TI:44,TI:45,TI:46,TI:47,TI:48,TI:49,TI:50,TI:51,TI:52,TI:53
Project ID,Sample ID,Mineral,Conversion factors,ExternalU (ppm),errExternal U (ppm),External Th (ppm),errExternal Th (ppm),External K (%),errExternal K (%),External Rb (ppm),errExternal Rb (ppm),Calculate external Rb from K conc?,Internal U (ppm),errInternal U (ppm),Internal Th (ppm),errInternal Th (ppm),Internal K (%),errInternal K (%),Internal Rb (ppm),errInternal Rb (ppm),Calculate internal Rb from K conc?,User external alphadoserate (Gy.ka-1),errUser external alphadoserate (Gy.ka-1),User external betadoserate (Gy.ka-1),errUser external betadoserate (Gy.ka-1),User external gamma doserate (Gy.ka-1),errUser external gammadoserate (Gy.ka-1),User internal doserate (Gy.ka-1),errUser internal doserate (Gy.ka-1),Scale gammadoserate at shallow depths?,Grain size min (microns),Grain size max (microns),alpha-Grain size attenuation,beta-Grain size attenuation ,Etch depth min (microns),Etch depth max (microns),beta-Etch depth attenuation factor,a-value,erra-value,Water content ((wet weight - dry weight)/dry weight) %,errWater content %,Depth (m),errDepth (m),Overburden density (g cm-3),errOverburden density (g cm-3),Latitude (decimal degrees),Longitude (decimal degrees),Altitude (m),User cosmicdoserate (Gy.ka-1),errUser cosmicdoserate (Gy.ka-1),De (Gy),errDe (Gy)
DRAC-example,4371,F,Liritzisetal2013,2.841,0.148,12.13,0.613,1.9,0.097,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,22.1,5,1.8,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4374,F,Liritzisetal2013,3.073,0.157,12.6,0.634,1.95,0.1,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,18.6,5,3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4451,F,Liritzisetal2013,2.97,0.152,11.88,0.598,1.93,0.099,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,18.6,5,5,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4452,F,Liritzisetal2013,2.854,0.147,11.36,0.574,1.89,0.097,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,20,5,5.4,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4380,F,Liritzisetal2013,2.989,0.151,12.06,0.605,1.87,0.094,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,36.3,5,8.7,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4453,F,Liritzisetal2013,3.184,0.163,11.66,0.59,1.75,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,22.1,5,9.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4367,F,Liritzisetal2013,2.571,0.132,9.65,0.488,1.62,0.083,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,21.3,5,11,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4454,F,Liritzisetal2013,2.707,0.141,10.5,0.533,1.64,0.084,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,25.1,5,12.1,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4377,F,Liritzisetal2013,2.6,0.134,10.01,0.507,1.65,0.085,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,21,5,15.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4372,F,Liritzisetal2013,2.798,0.143,10.47,0.528,1.54,0.08,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,30.9,5,19.2,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4455,F,Liritzisetal2013,6.767,0.34,12.92,0.65,1.69,0.085,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,35,5,23,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4370,F,Liritzisetal2013,2.51,0.13,9.43,0.48,1.75,0.09,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,24,5,27,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4456,F,Liritzisetal2013,2.384,0.124,9.94,0.503,1.53,0.079,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,34,5,29.9,0.02,2,0.1,50.5,7.1,147,X,X,X,X
DRAC-example,4457,F,Liritzisetal2013,2.632,0.137,10.87,0.551,1.62,0.083,0,0,N,X,X,X,X,12.5,0.5,400,100,N,X,X,X,X,X,X,X,X,N,150,200,Brennanetal1991,Guerinetal2012-F,0,0,Brennan2003,0.081,0.02,34.4,5,31.3,0.02,2,0.1,50.5,7.1,147,X,X,X,X
