"Sample","mineral","grainsize","etch_depth_um","a_value","a_value_err","Rn_loss","latitude","longitude","altitude_m","depth_m","grain_min","grain_max","water_percent","water_err","U_ppm","U_err","Th_ppm","Th_err","K_percent","K_err","cosmicray","cosmicray_err","internal","internal_err","external_alpha","external_alpha_err","external_beta","external_beta_err","external_gamma","external_gamma_err","external_total","external_total_err","doserate_Gyperka","doserate_err"
"4371","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,1.8,4,11,22.1,5,2.841,0.148,12.13,0.613,1.9,0.097,0.168227717303532,0.0168227717303532,0.0361502366487321,0.0135530658321565,0.831744282796611,0.149771515936229,1.76494593274313,0.108639239197014,1.09885202166238,0.0605312802894266,3.69554223720212,0.194674156406594,3.89992019115439,0.195869135942245
"4374","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,3,4,11,18.6,5,3.073,0.157,12.6,0.634,1.95,0.1,0.143572679930131,0.0143572679930131,0.0361502366487321,0.0135530658321565,0.916534335842064,0.165519270787051,1.89729996620595,0.119222418920111,1.18538282564932,0.0666293876557238,3.99921712769733,0.214592845813686,4.1789400442762,0.215499202346761
"4451","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,5,4,11,18.6,5,2.97,0.152,11.88,0.598,1.93,0.099,0.112032351819187,0.0112032351819187,0.0361502366487321,0.0135530658321565,0.874342618284793,0.157862085485944,1.85660311151186,0.116972224722918,1.14318669350847,0.0642572896745104,3.87413242330512,0.206717049773148,4.02231501177304,0.207463579307083
"4452","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,5.4,4,11,20,5,2.854,0.147,11.36,0.574,1.89,0.097,0.10687150414422,0.010687150414422,0.0361502366487321,0.0135530658321565,0.824497646618077,0.14863460339486,1.78051801079064,0.111378355899775,1.08926319218241,0.0607335052505488,3.69427884959113,0.195412236436981,3.83730059038408,0.196172992347912
"4380","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,8.7,4,11,36.3,5,2.989,0.151,12.06,0.605,1.87,0.094,0.0745749562418158,0.00745749562418158,0.0361502366487321,0.0135530658321565,0.7319936897882,0.129922204035229,1.54628013169502,0.0871049315268298,0.977056626727589,0.0493678583984744,3.25533044821081,0.164025100641692,3.36605564110135,0.164752946786856
"4453","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,9.2,4,11,22.1,5,3.184,0.163,11.66,0.59,1.75,0.09,0.0709169359069078,0.00709169359069078,0.0361502366487321,0.0135530658321565,0.860552861060176,0.154773426223417,1.6997082245152,0.103786837877256,1.08149527932649,0.0593427847563606,3.64175636490186,0.195571182141273,3.7488235374575,0.196168460756489
"4367","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,11,4,11,21.3,5,2.571,0.132,9.65,0.488,1.62,0.083,0.0596580034170201,0.00596580034170201,0.0361502366487321,0.0135530658321565,0.709966615451828,0.127783474882716,1.51885748491792,0.0939980138242735,0.930367068441126,0.0513663448650047,3.15919116881087,0.166741549833269,3.25499940887662,0.167397792123936
"4454","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,12.1,4,11,25.1,5,2.707,0.141,10.5,0.533,1.64,0.084,0.0539913671433114,0.00539913671433114,0.0361502366487321,0.0135530658321565,0.728725723415274,0.130666726426272,1.50839291476104,0.0908720430394065,0.946525728147791,0.0511252739692996,3.18364436632411,0.167168523471227,3.27378597011615,0.167803907911171
"4377","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,15.2,4,11,21,5,2.6,0.134,10.01,0.507,1.65,0.085,0.0416129063866928,0.00416129063866928,0.0361502366487321,0.0135530658321565,0.729845397066302,0.131410648595273,1.55333156182815,0.0964619684740919,0.955568016782314,0.0529312676790792,3.23874497567677,0.171392499906622,3.31650811871219,0.171977879267863
"4372","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,19.2,4,11,30.9,5,2.798,0.143,10.47,0.528,1.54,0.08,0.0308898369669202,0.00308898369669202,0.0361502366487321,0.0135530658321565,0.695548401784976,0.123998762641405,1.38071407221071,0.0802746764947319,0.888228151391005,0.0463159540228469,2.96449062538669,0.154805957314245,3.03153069900235,0.155428799885057
"4455","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,23,4,11,35,5,6.767,0.34,12.92,0.65,1.69,0.085,0.0240208061442514,0.00240208061442514,0.0361502366487321,0.0135530658321565,1.21351973762656,0.226703285509547,1.85711371381392,0.101088697389306,1.28675096497498,0.0652287711102916,4.35738441641546,0.256647807279253,4.41755545920845,0.257016638694808
"4370","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,27,4,11,24,5,2.51,0.13,9.43,0.48,1.75,0.09,0.0189272171766118,0.00189272171766118,0.0361502366487321,0.0135530658321565,0.672805701597656,0.120776969836943,1.54802243939512,0.0951258867208347,0.919716551507538,0.0501064315980892,3.14054469250032,0.161699305053896,3.19562214632566,0.162277334350378
"4456","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,29.9,4,11,34,5,2.384,0.124,9.94,0.503,1.53,0.079,0.0161482446323497,0.00161482446323497,0.0361502366487321,0.0135530658321565,0.607650508539983,0.108169072388631,1.28583787884013,0.0741252939660441,0.812077832228308,0.0418222734805173,2.70556621960842,0.137637967095015,2.7578647008895,0.138313062425594
"4457","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,31.3,4,11,34.4,5,2.632,0.137,10.87,0.551,1.62,0.083,0.0150114953839359,0.00150114953839359,0.0361502366487321,0.0135530658321565,0.664825181050998,0.11829766080157,1.37403737910288,0.078579826791686,0.877615072980117,0.0450582096687333,2.916477633134,0.148994523349975,2.96763936516667,0.149617201657008
"4375","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,33,4,11,29.8,5,2.482,0.127,10.06,0.507,1.56,0.079,0.0137783150343498,0.00137783150343498,0.0361502366487321,0.0135530658321565,0.650342307968988,0.116074774808949,1.36509057593383,0.079827322675518,0.859180724330457,0.0450618010137857,2.87461360823327,0.147906459301463,2.92454215991636,0.148532503904694
"4369","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,38.3,4,11,26.9,5,2.706,0.141,9.79,0.496,1.56,0.081,0.0107404942658048,0.00107404942658048,0.0361502366487321,0.0135530658321565,0.689644828856831,0.123493233105169,1.42074393308706,0.0849319928790453,0.890145715029158,0.0475585525309845,3.00053447697305,0.157244516457701,3.04742520788759,0.157831166540825
"4459","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,40,4,11,25.1,5,2.762,0.14,10.56,0.531,1.6,0.081,0.00996709620886012,0.000996709620886012,0.0361502366487321,0.0135530658321565,0.738041200316382,0.132240900348772,1.4913082397898,0.0891693897767512,0.945781641189917,0.0508477128714155,3.1751310812961,0.167404676465342,3.22124841415369,0.167955365278949
"4460","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,43.1,4,11,30.6,5,2.539,0.13,10.79,0.544,1.8,0.092,0.00874651702978726,0.000874651702978726,0.0361502366487321,0.0135530658321565,0.676662325356451,0.120788977115424,1.51404889030781,0.0891744248534832,0.928575071913644,0.0486445305527627,3.11928628757791,0.157823779555676,3.16418304125643,0.158407057930797
"4373","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,48.8,4,11,25.1,5,2.789,0.143,9.92,0.501,1.8,0.092,0.00699510807541663,0.000699510807541663,0.0361502366487321,0.0135530658321565,0.718642852978387,0.128896373234943,1.60275909536435,0.0971985757879493,0.963038393954002,0.0519061430360621,3.28444034229674,0.169576194830547,3.32758568702089,0.170118372793853
"4381","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,52.1,4,11,23.7,5,2.906,0.148,10.32,0.519,1.81,0.091,0.00619957473005666,0.000619957473005666,0.0361502366487321,0.0135530658321565,0.759803664329768,0.136448944045402,1.65182970982973,0.100187461893963,1.00255144940087,0.0543143287034444,3.41418482356037,0.177780449302968,3.45653463493916,0.178297386674859
"4368","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,60,4,11,28.3,5,3.003,0.158,11.64,0.594,1.74,0.092,0.00474452046018747,0.000474452046018747,0.0361502366487321,0.0135530658321565,0.780887429939979,0.139634819906461,1.57691011849782,0.0939400565233678,1.00578503273805,0.0535631885594844,3.36358258117585,0.176611529404459,3.40447733828477,0.17713142865335
"4379","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,62.7,4,11,42.9,5,2.745,0.14,10.61,0.534,1.55,0.078,0.00435641197063585,0.000435641197063585,0.0361502366487321,0.0135530658321565,0.617784509185998,0.109170003012127,1.24860345413332,0.0676965926165568,0.80884719218836,0.0395608304740954,2.67523515550768,0.134409737435054,2.71574180412705,0.135092016396467
"4376","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,65,4,11,42.6,5,2.841,0.146,12.1,0.612,2.04,0.104,0.00405973132521756,0.000405973132521756,0.0361502366487321,0.0135530658321565,0.674794903983908,0.119437268899738,1.54228511950958,0.0857318196082169,0.948564793624297,0.0467965050463543,3.16564481711779,0.15428907602328,3.20585478509174,0.154883728608762
"4366","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,69,4,11,42.5,5,8.222,0.414,21.39,1.074,3.39,0.171,0.00360688849027277,0.000360688849027277,0.0361502366487321,0.0135530658321565,1.54447591140584,0.277661893836804,2.91577382349676,0.156352112904409,1.88272185921186,0.0914712031292299,6.34297159411445,0.331525400988556,6.38272871925346,0.331802512333043
"4382","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,69,4,11,62.5,5,2.572,0.132,10.45,0.527,1.82,0.093,0.00360688849027277,0.000360688849027277,0.0361502366487321,0.0135530658321565,0.503954263128484,0.0882628977847134,1.18160242688112,0.061014999085198,0.726908379562044,0.033021450065541,2.41246506957165,0.112265691122232,2.45222219471065,0.113081391453453
"4378","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,70.1,4,11,24.9,5,3.174,0.161,10.81,0.544,2.09,0.105,0.00349467405502698,0.000349467405502698,0.0361502366487321,0.0135530658321565,0.802429497725291,0.144053393748274,1.84293672725166,0.111556719707456,1.08804402349166,0.0585407713174181,3.73341024846861,0.191372160641828,3.77305515917236,0.191851795898917
"4365","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,72.2,4,11,24,5,2.782,0.143,12.83,0.648,2.7,0.136,0.0032934680989379,0.00032934680989379,0.0361502366487321,0.0135530658321565,0.831902047319531,0.149821670767241,2.23233023218934,0.1387538187125,1.25833118718593,0.0689017366497042,4.32256346669481,0.215514743236127,4.36200717144247,0.215940729402551
"LUM-2307","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,1.5,4,11,20,10,3.471,0.176,11.12,0.56,1.94,0.099,0.175208919112652,0.0175208919112652,0.0361502366487321,0.0135530658321565,0.900530571425192,0.186076445887763,1.87815917044135,0.200092876960858,1.14620667752443,0.11192427471195,3.92489641939097,0.295277236499007,4.13625557515235,0.296106929404409
"LUM-2308","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,4.3,4,11,20,10,4.107,0.21,13.88,0.701,1.83,0.094,0.121908881059722,0.0121908881059722,0.0361502366487321,0.0135530658321565,1.09292853239654,0.225549915983649,1.94037108428552,0.205669731892214,1.28984087947883,0.126015147018774,4.32314049616089,0.33023116221067,4.48119961386934,0.330733916980513
"LUM-2317","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,6.6,4,11,20,10,3.65,0.184,12.73,0.639,1.81,0.091,0.0932141706147063,0.00932141706147063,0.0361502366487321,0.0135530658321565,0.986270947042067,0.203349909975185,1.85032398582677,0.19612469553893,1.19912133550489,0.117031977240311,4.03571626837373,0.305798243591965,4.16508067563717,0.306240330775382
"LUM-2318","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,9.6,4,11,20,10,3.107,0.158,12.33,0.62,1.83,0.092,0.0681701251702199,0.00681701251702199,0.0361502366487321,0.0135530658321565,0.896183120876106,0.184666251474389,1.79212822895493,0.190489074933052,1.13808599348534,0.111197939526778,3.82639734331638,0.287667679549603,3.93071770513533,0.288067441948168
"LUM-2310","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,12.6,4,11,25,10,3.691,0.189,13.34,0.673,1.72,0.088,0.0516667945407822,0.00516667945407823,0.0361502366487321,0.0135530658321565,0.959689194907909,0.194518079074384,1.724434419449,0.175062797314992,1.15483564202335,0.108351970451237,3.83895925638025,0.283239149114673,3.92677628756977,0.283610288532055
"LUM-2311","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,13.8,4,11,25,10,3.306,0.168,12.17,0.613,1.76,0.089,0.0466391856765893,0.00466391856765893,0.0361502366487321,0.0135530658321565,0.867524903611773,0.175781067424201,1.68266132082016,0.171136385281386,1.08531968871595,0.101771630571365,3.63550591314789,0.265601413439622,3.71829533547321,0.265987872939691
"LUM-2309","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,17.8,4,11,25,10,3.141,0.161,10.57,0.536,1.56,0.081,0.0341384272315795,0.00341384272315795,0.0361502366487321,0.0135530658321565,0.788646066427227,0.160064349441011,1.51003791106356,0.153886013986824,0.972193618677043,0.0912280945213938,3.27087759616783,0.240050133290385,3.34116626004814,0.240456662224861
"LUM-2312","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,22.4,4,11,30,10,2.584,0.134,10.3,0.523,1.34,0.07,0.0249497955435013,0.00249497955435013,0.0361502366487321,0.0135530658321565,0.669772769940776,0.133765730934184,1.25013315593319,0.122363472283415,0.833869746646796,0.075425173933961,2.75377567252076,0.196354391304546,2.814875704713,0.196837388473344
"LUM-2313","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,27.7,4,11,25,10,1.838,0.098,7.82,0.399,1.21,0.064,0.0181974246336072,0.00181974246336072,0.0361502366487321,0.0135530658321565,0.520089593767364,0.105553409367542,1.09804263833624,0.112753001100635,0.687850894941634,0.0647797298006514,2.30598312704524,0.167484849700972,2.36033078832758,0.168042173085927
"LUM-2314","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,35.3,4,11,30,10,2.706,0.144,9.29,0.477,1.49,0.077,0.0123273297949371,0.00123273297949371,0.0361502366487321,0.0135530658321565,0.650532484183578,0.130150583818985,1.33023745033783,0.130556141267127,0.835753949329359,0.0755812170179905,2.81652388385076,0.199240058364038,2.86500145029443,0.199704296601136
"LUM-2315","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,52.4,4,11,25,10,2.983,0.153,10.54,0.532,1.85,0.095,0.0061336406017069,0.00061336406017069,0.0361502366487321,0.0135530658321565,0.766959275257364,0.155505838594487,1.66866316241412,0.170779189201976,1.01369914396887,0.0951481210269057,3.44932158164036,0.24980144562514,3.4916054588908,0.25016959056874
"LUM-2316","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,53.2,4,11,25,10,3.157,0.161,10.56,0.533,1.92,0.097,0.00596253823799173,0.000596253823799173,0.0361502366487321,0.0135530658321565,0.790374832434,0.160413972881039,1.7307130471675,0.176806906241501,1.04319424124514,0.0978233065544707,3.56428212084664,0.257997527304856,3.60639489573336,0.258353953342102
"4371","qz","fine",0,0.04,0.01,0,50.5,7.1,147,1.8,4,11,22.1,5,2.841,0.148,12.13,0.613,1.9,0.097,0.168227717303532,0.0168227717303532,0,0,0.369664125687383,0.0730264237102328,1.76494593274313,0.108639239197014,1.09885202166238,0.0605312802894266,3.23346208009289,0.144219897194144,3.40168979739643,0.145197742390786
