"Sample","mineral","grainsize","etch_depth_um","a_value","a_value_err","Rn_loss","latitude","longitude","altitude_m","depth_m","grain_min","grain_max","water_percent","water_err","U_ppm","U_err","Th_ppm","Th_err","K_percent","K_err","cosmicray","cosmicray_err","internal","internal_err","external_alpha","external_alpha_err","external_beta","external_beta_err","external_gamma","external_gamma_err","external_total","external_total_err","doserate_Gyperka","doserate_err"
"4371","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,1.8,4,11,22.1,5,2.841,0.148,12.13,0.613,1.9,0.097,0.168227717303532,0.0168227717303532,0.0361502366487321,0.0135530658321565,0.880670417078765,0.158581605108948,1.76494593274313,0.108639239197014,1.09885202166238,0.0605312802894266,3.74446837148428,0.201530756128472,3.94884632543654,0.202685314978308
"4374","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,3,4,11,18.6,5,3.073,0.157,12.6,0.634,1.95,0.1,0.143572679930131,0.0143572679930131,0.0361502366487321,0.0135530658321565,0.970448120303362,0.175255698480407,1.89729996620595,0.119222418920111,1.18538282564932,0.0666293876557238,4.05313091215863,0.222189154376163,4.2328538287375,0.223064647714667
"4451","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,5,4,11,18.6,5,2.97,0.152,11.88,0.598,1.93,0.099,0.112032351819187,0.0112032351819187,0.0361502366487321,0.0135530658321565,0.925774537007428,0.167148090514528,1.85660311151186,0.116972224722918,1.14318669350847,0.0642572896745104,3.92556434202775,0.213892460819908,4.07374693049567,0.214614032317525
"4452","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,5.4,4,11,20,5,2.854,0.147,11.36,0.574,1.89,0.097,0.10687150414422,0.010687150414422,0.0361502366487321,0.0135530658321565,0.872997508183846,0.157377815359263,1.78051801079064,0.111378355899775,1.08926319218241,0.0607335052505488,3.7427787111569,0.202142211302364,3.88580045194985,0.202877732557422
"4380","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,8.7,4,11,36.3,5,2.989,0.151,12.06,0.605,1.87,0.094,0.0745749562418158,0.00745749562418158,0.0361502366487321,0.0135530658321565,0.775052142128683,0.137564686625536,1.54628013169502,0.0871049315268298,0.977056626727589,0.0493678583984744,3.29838890055129,0.170142580048404,3.40911409344184,0.170844365959089
"4453","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,9.2,4,11,22.1,5,3.184,0.163,11.66,0.59,1.75,0.09,0.0709169359069078,0.00709169359069078,0.0361502366487321,0.0135530658321565,0.911173617593128,0.16387774541303,1.6997082245152,0.103786837877256,1.08149527932649,0.0593427847563606,3.69237712143482,0.202852629415685,3.79944429399046,0.203428530379326
"4367","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,11,4,11,21.3,5,2.571,0.132,9.65,0.488,1.62,0.083,0.0596580034170201,0.00596580034170201,0.0361502366487321,0.0135530658321565,0.75172935753723,0.135300149875817,1.51885748491792,0.0939980138242735,0.930367068441126,0.0513663448650047,3.20095391089627,0.172569575951607,3.29676215096202,0.173203738156211
"4454","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,12.1,4,11,25.1,5,2.707,0.141,10.5,0.533,1.64,0.084,0.0539913671433114,0.00539913671433114,0.0361502366487321,0.0135530658321565,0.771591942439702,0.138353004451347,1.50839291476104,0.0908720430394065,0.946525728147791,0.0511252739692996,3.22651058534854,0.173242822896956,3.31665218914058,0.173856009260586
"4377","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,15.2,4,11,21,5,2.6,0.134,10.01,0.507,1.65,0.085,0.0416129063866928,0.00416129063866928,0.0361502366487321,0.0135530658321565,0.772777479246673,0.139140686747936,1.55333156182815,0.0964619684740919,0.955568016782314,0.0529312676790792,3.28167705785714,0.177388728978755,3.35944020089256,0.177954384890984
"4372","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,19.2,4,11,30.9,5,2.798,0.143,10.47,0.528,1.54,0.08,0.0308898369669202,0.00308898369669202,0.0361502366487321,0.0135530658321565,0.736463013654681,0.131292807502664,1.38071407221071,0.0802746764947319,0.888228151391005,0.0463159540228469,3.0054052372564,0.160707786324471,3.07244531087205,0.16130784233583
"4455","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,23,4,11,35,5,6.767,0.34,12.92,0.65,1.69,0.085,0.0240208061442514,0.00240208061442514,0.0361502366487321,0.0135530658321565,1.28490325160459,0.240038772892461,1.85711371381392,0.101088697389306,1.28675096497498,0.0652287711102916,4.4287679303935,0.268500148625926,4.48893897318648,0.268852720642498
"4370","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,27,4,11,24,5,2.51,0.13,9.43,0.48,1.75,0.09,0.0189272171766118,0.00189272171766118,0.0361502366487321,0.0135530658321565,0.712382507573989,0.127881497474411,1.54802243939512,0.0951258867208347,0.919716551507538,0.0501064315980892,3.18012149847665,0.16707263752098,3.23519895230199,0.167632139511396
"4456","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,29.9,4,11,34,5,2.384,0.124,9.94,0.503,1.53,0.079,0.0161482446323497,0.00161482446323497,0.0361502366487321,0.0135530658321565,0.643394656101159,0.114531958999727,1.28583787884013,0.0741252939660441,0.812077832228308,0.0418222734805173,2.74131036716959,0.142692786772656,2.79360884845068,0.143344077828296
"4457","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,31.3,4,11,34.4,5,2.632,0.137,10.87,0.551,1.62,0.083,0.0150114953839359,0.00150114953839359,0.0361502366487321,0.0135530658321565,0.703932544642233,0.125256346731075,1.37403737910288,0.078579826791686,0.877615072980117,0.0450582096687333,2.95558499672523,0.154577436366302,3.0067467287579,0.155177713854037
"4375","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,33,4,11,29.8,5,2.482,0.127,10.06,0.507,1.56,0.079,0.0137783150343498,0.00137783150343498,0.0361502366487321,0.0135530658321565,0.688597737849516,0.122902702738887,1.36509057593383,0.079827322675518,0.859180724330457,0.0450618010137857,2.9128690381138,0.153323324046508,2.96279758979688,0.153927339058963
"4369","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,38.3,4,11,26.9,5,2.706,0.141,9.79,0.496,1.56,0.081,0.0107404942658048,0.00107404942658048,0.0361502366487321,0.0135530658321565,0.730212171730762,0.130757540934885,1.42074393308706,0.0849319928790453,0.890145715029158,0.0475585525309845,3.04110181984699,0.163011637144673,3.08799255076152,0.163577605497232
"4459","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,40,4,11,25.1,5,2.762,0.14,10.56,0.531,1.6,0.081,0.00996709620886012,0.000996709620886012,0.0361502366487321,0.0135530658321565,0.781455388570287,0.140019776839876,1.4913082397898,0.0891693897767512,0.945781641189917,0.0508477128714155,3.21854526955001,0.173615114214462,3.2646626024076,0.174146165353188
"4460","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,43.1,4,11,30.6,5,2.539,0.13,10.79,0.544,1.8,0.092,0.00874651702978726,0.000874651702978726,0.0361502366487321,0.0135530658321565,0.71646599155389,0.127894211063391,1.51404889030781,0.0891744248534832,0.928575071913644,0.0486445305527627,3.15908995377535,0.16332574084992,3.20398670745387,0.163889439053368
"4373","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,48.8,4,11,25.1,5,2.789,0.143,9.92,0.501,1.8,0.092,0.00699510807541663,0.000699510807541663,0.0361502366487321,0.0135530658321565,0.760915961977116,0.136478512836998,1.60275909536435,0.0971985757879493,0.963038393954002,0.0519061430360621,3.32671345129547,0.175408652256052,3.36985879601962,0.175932857065146
"4381","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,52.1,4,11,23.7,5,2.906,0.148,10.32,0.519,1.81,0.091,0.00619957473005666,0.000619957473005666,0.0361502366487321,0.0135530658321565,0.804497997525636,0.14447535251866,1.65182970982973,0.100187461893963,1.00255144940087,0.0543143287034444,3.45887915675624,0.184012774851779,3.50122896813503,0.184512252301495
"4368","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,60,4,11,28.3,5,3.003,0.158,11.64,0.594,1.74,0.092,0.00474452046018747,0.000474452046018747,0.0361502366487321,0.0135530658321565,0.826821984642331,0.147848632842135,1.57691011849782,0.0939400565233678,1.00578503273805,0.0535631885594844,3.4095171358782,0.183174691542147,3.45041189298712,0.183676014546689
"4379","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,62.7,4,11,42.9,5,2.745,0.14,10.61,0.534,1.55,0.078,0.00435641197063585,0.000435641197063585,0.0361502366487321,0.0135530658321565,0.654124774432233,0.115591767895194,1.24860345413332,0.0676965926165568,0.80884719218836,0.0395608304740954,2.71157542075391,0.13967585605547,2.75208206937328,0.140332534152034
"4376","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,65,4,11,42.6,5,2.841,0.146,12.1,0.612,2.04,0.104,0.00405973132521756,0.000405973132521756,0.0361502366487321,0.0135530658321565,0.714488721865314,0.126462990599722,1.54228511950958,0.0857318196082169,0.948564793624297,0.0467965050463543,3.20533863499919,0.159789692312473,3.24554860297314,0.160363949118715
"4366","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,69,4,11,42.5,5,8.222,0.414,21.39,1.074,3.39,0.171,0.00360688849027277,0.000360688849027277,0.0361502366487321,0.0135530658321565,1.63532743560618,0.29399494641544,2.91577382349676,0.156352112904409,1.88272185921186,0.0914712031292299,6.4338231183148,0.345320130790835,6.4735802434538,0.345586180885891
"4382","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,69,4,11,62.5,5,2.572,0.132,10.45,0.527,1.82,0.093,0.00360688849027277,0.000360688849027277,0.0361502366487321,0.0135530658321565,0.533598631547807,0.0934548329485201,1.18160242688112,0.061014999085198,0.726908379562044,0.033021450065541,2.44210943799097,0.116391804175524,2.48186656312997,0.117178785490933
"4378","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,70.1,4,11,24.9,5,3.174,0.161,10.81,0.544,2.09,0.105,0.00349467405502698,0.000349467405502698,0.0361502366487321,0.0135530658321565,0.849631232885602,0.152527122792291,1.84293672725166,0.111556719707456,1.08804402349166,0.0585407713174181,3.78061198362892,0.19782933757565,3.82025689433268,0.198293354721077
"4365","fsp","fine",0,0.09,0.02,0,50.5,7.1,147,72.2,4,11,24,5,2.782,0.143,12.83,0.648,2.7,0.136,0.0032934680989379,0.00032934680989379,0.0361502366487321,0.0135530658321565,0.880837461867739,0.158634710224137,2.23233023218934,0.1387538187125,1.25833118718593,0.0689017366497042,4.37149888124301,0.221731916531072,4.41094258599068,0.222145980992937
