Sample,mineral,grainsize,etch_depth,a_value,a_value_err,Rnloss,latitude,longitude,altitude_m,depth_m,grain_min,grain_max,water_percent,water_err,U_ppm,U_err,Th_ppm,Th_err,K_percent,K_err
4371,F,fine,0,0.09,0.02,0,50.5,7.1,147,1.8,4,11,22.1,5,2.841,0.04,12.13,0.09,1.9,0.02
4374,F,fine,0,0.09,0.02,0,50.5,7.1,147,3,4,11,18.6,5,3.073,0.032,12.6,0.07,1.95,0.02
4451,F,fine,0,0.09,0.02,0,50.5,7.1,147,5,4,11,18.6,5,2.97,0.033,11.88,0.07,1.93,0.02
4452,F,fine,0,0.09,0.02,0,50.5,7.1,147,5.4,4,11,20,5,2.854,0.034,11.36,0.08,1.89,0.02
4380,F,fine,0,0.09,0.02,0,50.5,7.1,147,8.7,4,11,36.3,5,2.989,0.022,12.06,0.05,1.87,0.01
4453,F,fine,0,0.09,0.02,0,50.5,7.1,147,9.2,4,11,22.1,5,3.184,0.037,11.66,0.09,1.75,0.02
4367,F,fine,0,0.09,0.02,0,50.5,7.1,147,11,4,11,21.3,5,2.571,0.029,9.65,0.07,1.62,0.02
4454,F,fine,0,0.09,0.02,0,50.5,7.1,147,12.1,4,11,25.1,5,2.707,0.038,10.5,0.09,1.64,0.02
4377,F,fine,0,0.09,0.02,0,50.5,7.1,147,15.2,4,11,21,5,2.6,0.034,10.01,0.08,1.65,0.02
4372,F,fine,0,0.09,0.02,0,50.5,7.1,147,19.2,4,11,30.9,5,2.798,0.028,10.47,0.07,1.54,0.02
4455,F,fine,0,0.09,0.02,0,50.5,7.1,147,23,4,11,35,5,6.767,0.035,12.92,0.07,1.69,0.01
4370,F,fine,0,0.09,0.02,0,50.5,7.1,147,27,4,11,24,5,2.51,0.035,9.43,0.09,1.75,0.02
4456,F,fine,0,0.09,0.02,0,50.5,7.1,147,29.9,4,11,34,5,2.384,0.034,9.94,0.08,1.53,0.02
4457,F,fine,0,0.09,0.02,0,50.5,7.1,147,31.3,4,11,34.4,5,2.632,0.038,10.87,0.09,1.62,0.02
4375,F,fine,0,0.09,0.02,0,50.5,7.1,147,33,4,11,29.8,5,2.482,0.026,10.06,0.06,1.56,0.01
4369,F,fine,0,0.09,0.02,0,50.5,7.1,147,38.3,4,11,26.9,5,2.706,0.039,9.79,0.08,1.56,0.02
4459,F,fine,0,0.09,0.02,0,50.5,7.1,147,40,4,11,25.1,5,2.762,0.025,10.56,0.06,1.6,0.01
4460,F,fine,0,0.09,0.02,0,50.5,7.1,147,43.1,4,11,30.6,5,2.539,0.027,10.79,0.07,1.8,0.02
4373,F,fine,0,0.09,0.02,0,50.5,7.1,147,48.8,4,11,25.1,5,2.789,0.03,9.92,0.07,1.8,0.02
4381,F,fine,0,0.09,0.02,0,50.5,7.1,147,52.1,4,11,23.7,5,2.906,0.029,10.32,0.06,1.81,0.01
4368,F,fine,0,0.09,0.02,0,50.5,7.1,147,60,4,11,28.3,5,3.003,0.05,11.64,0.12,1.74,0.03
4379,F,fine,0,0.09,0.02,0,50.5,7.1,147,62.7,4,11,42.9,5,2.745,0.027,10.61,0.06,1.55,0.01
4376,F,fine,0,0.09,0.02,0,50.5,7.1,147,65,4,11,42.6,5,2.841,0.035,12.1,0.09,2.04,0.02
4366,F,fine,0,0.09,0.02,0,50.5,7.1,147,69,4,11,42.5,5,8.222,0.045,21.39,0.1,3.39,0.02
