"Sample","keff","keff_err","latitude","longitude","altitude_m","depth_m","water_percent","water_err","U_ppm","U_err","Th_ppm","Th_err","K_percent","K_err","cosmicray","cosmicray_err","alpha","alpha_err","beta","beta_err","gamma","gamma_err","doserate_Gyperka","doserate_err"
"LUM4523",0.139,0.003,42.45,13.27,889,1000,0,0,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077,3.04887861886449e-06,3.04887861886449e-07,0.22105290235,0.00733738309587104,0.09235824,0.00226555944985096,0.07072947,0.00171367808161743,0.384143661228619,0.00786807746382531
"LUM4524",0.167,0.003,42.45,13.27,889,1000,0,0,1.0756,0.005,0.2487,0.0063,0.02677,0.00136,3.04887861886449e-06,3.04887861886449e-07,0.53232369735,0.00977675717063755,0.185214737,0.00143835310499787,0.138901696,0.000772369310951698,0.856443179228619,0.00991213371952408
"LUM4525",0.162,0.003,42.45,13.27,853,1000,0,0,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063,3.02762779836776e-06,3.02762779836776e-07,0.4188894183,0.00913576426546323,0.145767836,0.00173243308776789,0.111173518,0.00127108140672421,0.675833799927798,0.00938504987476855
"LUM4526",0.147,0.003,42.45,13.27,853,1000,0,0,0.5899,0.009,0.1186,0.002,0.0096,0.00026,3.02762779836776e-06,3.02762779836776e-07,0.2550535554,0.00632909345742871,0.09701847,0.0013625493399492,0.07405356,0.00102273956998055,0.426128613027798,0.00655438486940858
"LUM4771",0.165,0.003,42.45,13.27,853,1000,0,0,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012,3.02762779836776e-06,3.02762779836776e-07,0.31712969475,0.00853740949038569,0.101623143,0.00198331593160167,0.078762624,0.0015143528810591,0.497518489377798,0.00889461452965276
"LUM4773",0.165,0.003,42.45,13.27,868,1000,0,0,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015,3.03645963629383e-06,3.03645963629383e-07,0.66211539075,0.0178756359694235,0.210622423,0.00415477530233417,0.163786904,0.00317299913730464,1.03652775420964,0.0186244044936145
"LUM4774",0.096,0.003,42.45,13.27,928,1000,0,0,0.4694,0.0094,0.0219,0.0011,0.00208,1e-04,3.072111884449e-06,3.072111884449e-07,0.1274098032,0.00472462551507026,0.070753998,0.00139029547800315,0.054051894,0.00105782418083347,0.252218767311884,0.00503726114726482
"LUM4775",0.095,0.003,42.45,13.27,875,1000,0,0,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011,3.04059223145163e-06,3.04059223145163e-07,0.12089519975,0.00447287664279772,0.067873204,0.00131813042250947,0.052169942,0.00100420811174178,0.240941386342231,0.00476996093239456
"LUM4532",0.104,0.003,42.45,13.27,775,1000,0,0,0.7044,0.0045,0.0561,0.0025,0.0077,4e-04,2.98221950219949e-06,2.98221950219949e-07,0.2089113468,0.00615623132491558,0.11048318,0.000802129001345794,0.08337379,0.00055123005805199,0.402771299019502,0.006232692012807
"LUM4772",0.104,0.003,42.45,13.27,775,1000,0,0,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017,2.98221950219949e-06,2.98221950219949e-07,0.1773758324,0.00588243552603868,0.089909814,0.00169840532986475,0.072397662,0.00133956098618167,0.339686290619502,0.0062675395576854
"LUM4778",0.115,0.003,42.45,13.27,775,1000,0,0,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015,2.98221950219949e-06,2.98221950219949e-07,0.20555987225,0.00655011734645139,0.094442926,0.00181520947768818,0.074483858,0.00140057819855373,0.374489638469502,0.00693978689005453
"LUM4779",0.098,0.003,42.45,13.27,800,1000,0,0,0.3323,0.0066,0.0163,8e-04,0.00199,1e-04,2.99667948280956e-06,2.99667948280956e-07,0.0921332447,0.00335821984559489,0.050525009,0.000978093020284369,0.038432272,0.000743098000269144,0.181093522379483,0.00357582175387438
"LUM4780",0.126,0.003,50.43,11.02,500,10,0,0,0.42,0.02,0.0071,5e-04,0.00764,0.0006528,0.0700901620116816,0.00700901620116816,0.1484653275,0.00791222908648007,0.067593654,0.00297099807539845,0.049205982,0.00224433350835965,0.335355125511682,0.011206852354071
"LUM4346",0.126,0.003,50.43,11.02,500,10,0,0,0.65,0.03,0.0254,0.0011,0.00768,0.00042755,0.0700901620116816,0.00700901620116816,0.231106995,0.0119483248499608,0.101685948,0.00440051396125807,0.075810204,0.00335946898989468,0.478693309011682,0.0149177521713468
"LUM4347",0.126,0.003,50.43,11.02,500,10,0,0,0.67,0.02,0.0123,6e-04,0.0067,0.00050615,0.0700901620116816,0.00700901620116816,0.2369280375,0.00909854557492564,0.10345862,0.00296170599316591,0.07717129,0.00224499450938561,0.487648109511682,0.0120715178177544
"LUM4348",0.126,0.003,50.43,11.02,500,10,0,0,0.87,0.03,0.0081,3e-04,0.006,0.00024595,0.0700901620116816,0.00700901620116816,0.3069213525,0.0129426057048824,0.13196235,0.00439890550958565,0.09915441,0.00336035354616678,0.608128274511681,0.0157251294486815
